speaker_id,sentence_id,repetition,phoneme_raw,phoneme,onset,offset,duration_ms,l1_status,gender,F1,F2,F3,f0,SCG,F1_25,F2_25,F1_75,F2_75,formant_qc_fail,F1_norm,F2_norm
AB,16,1,a,a,2.41,2.59,180.0,ru,f,894.142753824981,1377.7759103009691,3025.6963474414647,211.35978763279988,,782.9582410152417,1364.8698874585284,1370.2969287320332,1425.7731800903991,False,1.7831868995607478,-0.7650717215766212
AB,17,1,d,d,0.69,0.82,130.0,ru,f,240.4675944503318,640.5872105687884,,208.42682376412597,,,,,,False,-1.8180964954722343,-2.0879480626291986
AB,17,1,i,i,0.82,1.07,250.0,ru,f,376.0072864118655,2657.595687916504,3577.4633111138337,220.31610010284524,,341.2856322170674,2619.1116169962665,429.2114973013853,2741.371643175461,False,-1.0713695699823276,1.531549625486677
AB,17,1,l,l,1.24882,1.36,111.18,ru,f,308.2216137776925,1454.5718673353788,,225.1437801306875,,,,,,False,-1.4448202262870993,-0.6272622913910815
AB,17,1,u,u,1.36,1.45,90.0,ru,f,322.26506383104766,1072.5430695701054,2582.3528195817016,265.74462604383905,,,,,,False,-1.367450843711041,-1.3128084186554334
AB,17,1,ʃ,ʃ,1.45,1.73,280.0,ru,f,762.7691787619686,2241.5627661643666,,316.06154839700946,4340.060037511767,,,,,False,1.0594123035165008,0.7849835027492751
AB,17,1,t,t,1.98,2.03,50.0,ru,f,696.5704077920872,2165.7837714485595,,,,,,,,False,0.6947043423121986,0.6489989993314815
AB,17,1,ʁ,ʁ,2.03,2.1,70.0,ru,f,671.4915099702014,1157.3588883034672,,,,,,,,False,0.5565375219941543,-1.1606074421752859
AB,17,1,w,w,2.1,2.15,50.0,ru,f,503.4775405919845,968.3668289119596,,220.121605551108,,,,,,False,-0.3690994849776269,-1.4997514416786129
AB,17,1,a,a,2.15,2.29,140.0,ru,f,733.8607162118296,1406.5849961205531,2794.393797423184,211.8950181005412,,654.5880201486453,1309.4126166416058,756.2809988530364,1352.277769130452,False,0.900147315908061,-0.7133741602169225
AB,17,1,f,f,2.29,2.46,170.0,ru,f,1199.8085396982026,1751.5100639488817,,,4206.29707769979,,,,,False,3.467187130115678,-0.09441023438379206
AB,17,1,w,w,2.46,2.54,80.0,ru,f,452.1144024554473,822.6735458384875,,201.7823247192288,,,,,,False,-0.6520737021176126,-1.7611963028087307
AB,17,1,a,a,2.54,2.71,170.0,ru,f,790.4019516290991,1343.3077948938233,3091.541036400304,210.14284589325388,,889.9982122969831,1377.4419116806637,1335.25485985816,1405.5049218973024,False,1.2116491518316737,-0.8269243441267883
AB,18,1,d,d,0.57,0.72,150.0,ru,f,216.89807163111857,838.4233802843236,,200.6799443748938,,,,,,False,-1.9479477372402192,-1.7329334124911489
AB,18,1,i,i,0.72,0.96,240.0,ru,f,474.6274126446468,2698.1435325322363,3665.2777133612335,225.14445259706173,,345.6256232907289,2641.528564979625,363.0203860696557,2648.062382926566,False,-0.5280430905763461,1.6043122496863091
AB,18,1,ʒ,ʒ,1.12696,1.24,113.04,ru,f,348.7566002705672,2963.885371385413,,211.03868854932665,920.0779292752724,,,,,False,-1.2215013932533816,2.0811828142709112
AB,18,1,ɑ̃,ɑ̃,1.24,1.49555,255.55,ru,f,489.38040341327286,1061.9412237304962,,212.9669609556349,,,,,,False,-0.4467646452810478,-1.3318333047365698
AB,18,1,ʃ,ʃ,1.49555,1.7046,209.05,ru,f,550.9286431540429,2306.0857386041503,,,4299.293367659251,,,,,False,-0.10767779060541277,0.900769208262649
